pmid,title,authors,keywords
40638444,Orofacial myofunctional and anthropometric characteristics of children with and without microcephaly: a case-control study.,"Andréa Monteiro Correia Medeiros, Gabriela Rodrigues Dourado Nobre, Geyse do Espírito Santo Rezende, Íkaro Daniel de Carvalho Barreto, Jonan Emi Valencia Cardenas, Sarah Catarina Santos Nascimento, Anna Luiza Dos Santos Matos, Asenate Soares de Matos Pereira, Ricardo Queiroz Gurgel, Giédre Berretin-Felix","Humans, Microcephaly, Case-Control Studies, Male, Female, Cross-Sectional Studies, Infant, Anthropometry, Brazil, Zika Virus Infection, Reference Values, Facial Muscles, Age Factors, Deglutition, Child, Preschool"
40624932,Sulfur/selenium-functionalized benzotriazoles as multifunctional antivirals targeting Zika & Chikungunya.,"Luana S Gomes, Claudio C Cirne-Santos, Caroline de S Barros, Rafael R Batista, Matheus R de P Ignacio, Aldo S de Oliveira, Célia M Ronconi, Izabel C N de Palmer Paixão, Vanessa Nascimento","Antiviral Agents, Chikungunya virus, Zika Virus, Animals, Chlorocebus aethiops, Vero Cells, Triazoles, Molecular Docking Simulation, Virus Replication, Selenium, Sulfur, Chikungunya Fever, Structure-Activity Relationship, Density Functional Theory, Microbial Sensitivity Tests, Humans, Zika Virus Infection"
40573455,Brainstem Encephalitis: An Atypical Manifestation of Zika Virus Infection in Brazil.,"Mateus Santana do Rosário, Pedro Antonio Pereira de Jesus, Italo Andrade Barbosa Lima, Marcos Vinicius Oliveira Francisco, Cleiton Silva Santos, Lorena Cunha Martins, Luiza Vieira Luedy Trindade, Ricardo Khouri, Isadora Cristina de Siqueira","Humans, Zika Virus Infection, Female, Brazil, Zika Virus, Young Adult, Brain Stem, Antibodies, Viral, Encephalitis, Viral, Encephalitis, Immunoglobulin M"
40554518,"Assessment of a multiplex arbovirus PCR Detection Test in an area endemic for Chikungunya, Zika, and Dengue viruses: An evaluation of kit performance characteristics in line with Clinical Laboratory Improvement Amendments (CLIA) Standards.","Leonard Kingwara, Lazarus Odeny, Vera Onwonga, Rukia Madada, Marygorett Mbeneka, Jully Okonji, Victoria Mwende, Charles Rombo, Shalyn Akasa, Millicent Ndia, Fredrick Ouma, Isabella Ayagah, Abdi Roba, Kamene Kimenye","Humans, Zika Virus, Chikungunya virus, Dengue Virus, Chikungunya Fever, Multiplex Polymerase Chain Reaction, Dengue, Zika Virus Infection, Sensitivity and Specificity, Reagent Kits, Diagnostic, Brazil, Kenya, Arboviruses, Democratic Republic of the Congo"
40495084,Diagnostic Techniques for Dengue Virus.,"Juliana Schons Gularte, Daisy Maria Strottmann, Fernando Rosado Spilki, Camila Zanluca",
40476269,Autosomal recessive primary microcephaly in sibs in time of Zika epidemic: a Case Report.,"Julia V Almeida, Bianca Barbosa Abdala, Natana Chaves Rabelo, Maria Eduarda Gomes, Elenice Ferreira Bastos, Juan Clinton Llerena, Sayonara Gonzalez",
40466516,Investigation of Sleep Patterns and Electroencephalographic Characteristics in Children With Microcephaly Associated With Congenital Zika Syndrome and Severe Cerebral Palsy.,"Valéria Brandão Marquis, Adriana de Oliveira Melo, Márcia Pradella-Hallinan, Gustavo de Vasconcelos Ataíde, Maria Durce Costa Gomes Carvalho, Demócrito de Barros Miranda-Filho, Ricardo Arraes de Alencar Ximenes","Humans, Zika Virus Infection, Microcephaly, Female, Electroencephalography, Male, Child, Preschool, Cerebral Palsy, Child, Infant, Polysomnography, Sleep, Brain Waves"
40452192,Gross Motor Function and Musculoskeletal Deformities in Children With Congenital Zika Virus Syndrome.,"Alessandro Uono Sanchez, Altair Gustavo Saura Martins, Ana Patricia Montebello Medeiros Bahé, Francisco Oliveira Zucchi, Moacir Miguel Borges de Almeida, Múcio Brandão Vaz de Almeida, Rodrigo Mendes Heilmann, Sabrina Giovana Cavalcanti Lucas, Vanessa Van der Linden, Epitácio Leite Rolim Filho","Humans, Zika Virus Infection, Female, Cross-Sectional Studies, Male, Child, Preschool, Infant, Pregnancy, Musculoskeletal Abnormalities, Brazil, Pregnancy Complications, Infectious, Motor Skills"
40400258,Seroprevalence and Placental Transfer of Zika and Dengue Virus Antibodies in Postpartum Women in Southeast Brazil.,"Rafael Rahal Guaragna Machado, Marcella Sanches Peres, Samuel Santos Pereira, Ralyria Mello, Danielle Bastos Araujo, Camila Soares Pereira, Boris Pastorino, Danielle Bruna Leal Oliveira, Michele da Silva Jordan Faleiros, Rossana Pulcineli Vieira Franscisco, Carlos Tadashi Yoshizaki, Silvia Maria Ibidi, Xavier de Lamballerie, Luís Carlos de Sousa Ferreira, Edison Luiz Durigon","Humans, Female, Seroepidemiologic Studies, Brazil, Antibodies, Viral, Pregnancy, Zika Virus Infection, Dengue, Adult, Cross-Sectional Studies, Infant, Newborn, Dengue Virus, Young Adult, Zika Virus, Antibodies, Neutralizing, Pregnancy Complications, Infectious, Postpartum Period, Adolescent, Placenta, Risk Factors, Neutralization Tests, Enzyme-Linked Immunosorbent Assay"
40367910,"Epidemiology, transmission dynamics, treatment strategies, and future perspectives on Oropouche virus.","Beema T Yoosuf, Abhay M Gaidhane, Nasir Vadia, Soumya V Menon, Kattela Chennakesavulu, Rajashree Panigrahi, Ganesh Bushi, Anju Rani, Sanjit Sah, Muhammed Shabil, Khang Wen Goh, Diptismita Jena","Animals, Bunyaviridae Infections, Humans, Orthobunyavirus, Antiviral Agents, Mosquito Vectors, Ceratopogonidae, Brazil"
40355075,A one-year prospective study of chorioretinal scars and optic disk characteristics in children with congenital Zika syndrome.,"Thayze T Martins, Camila V Ventura, Itamara O Aragão, Lucas M Medeiros, Antônio C Netto, Nathália S Teixeira, Adriana L Gois, Arthur F Carvalho, Taciana M Higino, Liana O Ventura, Mauricio Maia, Cristina Muccioli","Humans, Prospective Studies, Zika Virus Infection, Female, Male, Cicatrix, Optic Disk, Child, Preschool, Eye Infections, Viral, Infant, Follow-Up Studies, Child, Tomography, Optical Coherence, Ultrasonography"
40294026,Proceedings of the second annual dengue endgame summit: A call to action.,"Céline S C Hardy, Lauren E Bahr, Alan L Rothman, Kathryn B Anderson, Giovanna Barba-Spaeth, Daniela Weiskopf, Eng Eong Ooi, Ernesto T A Marques, Mattia Bonsignori, Alan D T Barrett, Beth D Kirkpatrick, Priscila M S Castanha, Marco Hamins-Puertolas, Rebecca C Christofferson, George Dimopoulos, Fabiano Oliveira, Lillian W Chiang, Albert I Ko, Bhagwat Gunale, Prasad Kulkarni, T Alex Perkins, Ilaria Dorigatti, Telisa Stewart, Jana Shaw, Michael A Johansson, Stephen J Thomas, Adam T Waickman","Dengue, Humans, Dengue Virus, Dengue Vaccines, Global Health, Animals, Congresses as Topic"
40243791,"[The efficiency of the rapid chikungunya test in a scenario of Zika and dengue cocirculation in the municipality of Rio de Janeiro, Brazil].","Geani de Oliveira Marins, Thiago de Oliveira Pires, Reinaldo Souza-Santos, Andréa Sobral, Rafael Freitas de Oliveira França, Elisa de Almeida Neves Azevedo, Marília de Albuquerque Sena, Raquel de Vasconcellos Carvalhaes de Oliveira, André Reynaldo Santos Perissé","Humans, Dengue, Zika Virus Infection, Chikungunya Fever, Brazil, Sensitivity and Specificity, Adult, Female, Male, Zika Virus, Dengue Virus, Young Adult, Chikungunya virus, Adolescent, Middle Aged, ROC Curve, Predictive Value of Tests"
40206154,The Oropouche fever in Latin America: a hidden threat and a possible cause of microcephaly due to vertical transmission.,"Nathália Mariana Santos Sansone, Matheus Negri Boschiero, Luiz Felipe Azevedo Marques, Fernando Augusto Lima Marson",
40143249,"In Vitro System for Studying Ilhéus Virus, a Neglected Arbovirus: Ultrastructural Characterization of Cytopathology, Morphology, and Morphogenesis.","Maycon Douglas do Nascimento Garcia, Igor Pinto Silva Da Costa, Marcos Alexandre Nunes da Silva, Vivian Neuza Dos Santos Ferreira, Ana Luisa Teixeira de Almeida, Gabriela Cardoso Caldas, Andressa Santos de Almeida, Ana Maria Bispo de Filippis, Natalia Fintelman-Rodrigues, Aline de Paula Dias da Silva, Marcelo Alves Ferreira, Thiago Moreno L Souza, Alex Pauvolid-Corrêa, Debora Ferreira Barreto-Vieira","Animals, Chlorocebus aethiops, Vero Cells, Virus Replication, Microscopy, Electron, Transmission, Arboviruses, Virion, Epithelial Cells, Cytopathogenic Effect, Viral, Morphogenesis"
40142570,Impact of Zika and Chikungunya Viruses on Spontaneous Abortions: Insights from a Reference Maternity Hospital.,"Anne Kerollen Pinheiro de Carvalho, Ana Cecília Ribeiro Cruz, Juarez Antônio Simões Quaresma, Arnaldo Jorge Martins Filho, Darlene de Brito Simith Durans, Orlando Pereira Amador Neto, Ligia do Socorro Oliveira de Lima, Norma Suely de Carvalho Fonseca Assunçao, Edna Cristina Santos Franco, Patrícia Brazão Cohen, Eliana Vieira Pinto da Silva",
40137414,Intrauterine Zika Virus Infection: An Overview of the Current Findings.,"Ana Luiza Soares Dos Santos, Beatriz Bussi Rosolen, Fernanda Curvelo Ferreira, Isabella Samões Chiancone, Stefany Silva Pereira, Karina Felippe Monezi Pontes, Evelyn Traina, Heron Werner, Roberta Granese, Edward Araujo Júnior",
40134841,Pathogenesis and clinical management of arboviral diseases.,"Victoria Cenci Dietrich, Juan Marcos Caram Costa, Marina Maria Gomes Leite Oliveira, Carlos Eduardo Oliveira Aguiar, Luis Guilherme de Oliveira Silva, Marcel Silva Luz, Fabian Fellipe Bueno Lemos, Fabrício Freire de Melo",
40043812,Silymarin exerts antioxidant and antiviral effects on Zika virus infection.,"Rafaela Lameira Souza Lima, Marília Bueno da Silva Menegatto, Letícia Trindade Almeida, José Carlos de Magalhães, Ariane Coelho Ferraz, Cintia Lopes de Brito Magalhães","Animals, Antiviral Agents, Antioxidants, Silymarin, Zika Virus, Zika Virus Infection, Mice, Inbred C57BL, Mice, Disease Models, Animal, Liver, Viral Load, Oxidative Stress"
40037985,Zika Virus-Related Birth Defects and Neurological Complications: A Systematic Review and Meta-Analysis.,"Fang Ba, Hui Li, Silu Ding, Tingyi Guo, Junmei Zhang, Yanli Sun","Humans, Zika Virus Infection, Pregnancy, Female, Pregnancy Complications, Infectious, Infant, Newborn, Zika Virus, Microcephaly, Brain, Nervous System Diseases, Brazil, Congenital Abnormalities"
40024263,Zika virus: advancing a priority research agenda for preparedness and response.,"Eve M Lackritz, Lee-Ching Ng, Ernesto T A Marques, Ingrid B Rabe, Nigel Bourne, J Erin Staples, Jairo A Méndez-Rico, Eva Harris, Aaron C Brault, Albert I Ko, David W C Beasley, Tabitha Leighton, Annelies Wilder-Smith, Julia T Ostrowsky, Angela J Mehr, Angela K Ulrich, Raman Velayudhan, Josephine P Golding, Petra C Fay, Ana Cehovin, Nicolina M Moua, Kristine A Moore, Michael T Osterholm, Alan D T Barrett","Zika Virus Infection, Humans, Zika Virus, Disease Outbreaks, Global Health, Biomedical Research"
40019871,"High correlation between detection of dengue IgG from dried blood spots and serum using an indirect IgG ELISA assay: A validation study in Fortaleza, Brazil.","Monica Zahreddine, Beatriz Parra, Laura Pierce, Danielle Ferreira de Oliveira, Mabel Carabali, Katia Charland, Kellyanne Abreu, Valéry Ridde, Danielle Malta Lima, Kate Zinszer","Humans, Immunoglobulin G, Dengue, Antibodies, Viral, Enzyme-Linked Immunosorbent Assay, Brazil, Dried Blood Spot Testing, Female, Pilot Projects, Sensitivity and Specificity, Male, Adult, Dengue Virus, Young Adult, Middle Aged, Adolescent, Seroepidemiologic Studies, Serum"
40006979,Detecting Arboviruses Through Screening Asymptomatic Blood Donors in Rio de Janeiro/Brazil During a Dengue Outbreak.,"Marisa de Oliveira Ribeiro, Mônica Barcellos Arruda, Alexandre Rodrigues Calazans, Alexandre Vicente Frederico, Anielly Ferreira Brito, Beatriz Vasconcello de Souza Barreto, Élida Millena de Vasconcelos Brandão, Hamilton Athayde, Kátia Cristina Silva Nascimento, Luiz Paulo de Brito Oliveira Souza, Pedro Henrique Cardoso, Priscilla Lopes da Silva Guimarães, Vanessa Duarte da Costa, Carlos Alexandre da Costa Silva, Alexandra Martins Soares, Josiane Iole, Guilherme Louzada, Luiz Amorim Filho, Patrícia Alvarez","Humans, Brazil, Blood Donors, Dengue, Disease Outbreaks, Dengue Virus, Arboviruses, Zika Virus, Mass Screening, Arbovirus Infections, Zika Virus Infection, Female, Male, Chikungunya virus, Adult, Chikungunya Fever, Prevalence, Middle Aged, Young Adult"
39978420,Critical parameters on Zika virus-like particles' generation.,"Vinícius Aragão Tejo Dias, Ana Luiza Moraes Octaviano, Júlia Públio Rabello, Fernanda Angela Correia Barrence, Thaissa Consoni Bernardino, Jaci Leme, Soraia Attie Calil Jorge, Eutimio Gustavo Fernández Núñez","Animals, Zika Virus, Culture Media, Sf9 Cells, Baculoviridae, Cell Survival, Bioreactors, Virus Cultivation, Microscopy, Electron, Transmission, Vaccines, Virus-Like Particle, Spodoptera"
39968671,Microcontact printing of lectin self-assembled monolayers for arbovirus detection.,"Raiza P S Lucena, Alberto G Silva-Junior, Isaac A M Frías, Laura H V Gil, Marli T Cordeiro, Abdelhamid E El Salhi, Cesar A S Andrade, Maria D L Oliveira","Biosensing Techniques, Arboviruses, Zika Virus, Dengue Virus, Concanavalin A, Lectins, Gold, Chikungunya virus, Serum Albumin, Bovine, Animals"
39866622,Transient Expression of Zika NS2B Protein Antigen in ,"Mario A M Herazo, Daylana R S Dantas, Bruno B Silva, Helen P S Costa, Eduarda N F N Santos, Luiz F W G Moura, João X S Neto, Maurício F Van Tilburg, Eridan O P T Florean, Arlindo A Moura, Maria I F Guedes",
39861846,Latin America's Dengue Outbreak Poses a Global Health Threat.,"Michelle Teixeira de Almeida, Davi Gabriel Salustiano Merighi, Aline Biazola Visnardi, Cauê Augusto Boneto Gonçalves, Vitor Martins de Freitas Amorim, Anielle Salviano de Almeida Ferrari, Anacleto Silva de Souza, Cristiane Rodrigues Guzzo","Dengue, Humans, Disease Outbreaks, Dengue Virus, Animals, Latin America, Aedes, Global Health, Mosquito Vectors, Climate Change"
39858427,Congenital Zika Syndrome: Insights from Integrated Proteomic and Metabolomic Analysis.,"Leticia Gomes-de-Pontes, Lucila Akune Barreiros, Lillian Nunes Gomes, Ranieri Coelho Salgado, Sarah Maria da Silva Napoleão, Paulo V Soeiro-Pereira, Saulo Duarte Passos, Antonio Condino-Neto","Humans, Zika Virus Infection, Proteomics, Metabolomics, Zika Virus, Extracellular Vesicles, Female, Biomarkers, TOR Serine-Threonine Kinases, Pregnancy, Proto-Oncogene Proteins c-akt, Phosphatidylinositol 3-Kinases"
39853283,Growth and Survival of a Cohort of Congenital Zika Virus Syndrome Children Born With Microcephaly and Children Who Developed With Microcephaly After Birth.,"Nivia M R Arrais, Claudia R S Maia, Selma M B Jerômino, João I C F Neri, Áurea N Melo, Mylena T A L Bezerra, Maria Isabel de Moraes-Pinto","Humans, Microcephaly, Zika Virus Infection, Female, Male, Child, Preschool, Infant, Infant, Newborn, Cohort Studies, Zika Virus, Pregnancy, Pregnancy Complications, Infectious"
39841322,Perception of Quality of Life by Primary Caregivers of Children with Congenital Zika Syndrome: a Cross-Sectional Study.,"Pedro Henrique Moreira Lima, Lorena Araújo Silva Jorge, Francisco César Monteiro Chaves Filho, Renata Torreão Viana de Melo Costa, André Jalles Monteiro, Thyciana Rodrigues Ribeiro, Anya Pimentel Gomes Fernandes Vieira-Meyer, Sara Maria Silva, André Luiz Santos Pessoa, Erlane Marques Ribeiro, Cristiane Sá Roriz Fonteles","Humans, Quality of Life, Cross-Sectional Studies, Female, Caregivers, Male, Zika Virus Infection, Adult, Surveys and Questionnaires, Child, Perception, Child, Preschool, Portugal, Middle Aged"
39773842,"Dermatological manifestations during Dengue, Chikungunya, and Zika infections.","Benedetta Sonego, Antonio Schettini, Sinesio Talhari, Luiz Maciel, Cesare Massone","Humans, Chikungunya Fever, Dengue, Zika Virus Infection, Chikungunya virus"
39772265,Postural Abnormalities in Children with Congenital Zika Syndrome-Related Neurological and Visual Impairment.,"Raíne Borba, Amanda Rodrigues, Camila V Ventura, Cláudia Marques, Lucélia Nóbrega, Taciana Higino, Dalmir Santos, Juliana Sallum, Liana O Ventura","Humans, Female, Zika Virus Infection, Male, Child, Posture, Child, Preschool, Vision Disorders, Visual Acuity, Zika Virus, Nervous System Diseases, Microcephaly"
39699422,Zika virus infection and acute transverse myelitis: a comprehensive systematic review.,"Bianca Aparecida Colognese, Nayara Argollo","Humans, Myelitis, Transverse, Zika Virus Infection"
39666110,Association between microcephaly and hearing disorders in children exposed or suspected of exposure to the Zika virus during the intrauterine period.,"Andrea de Oliveira Campos Amaral, Armanda de Oliveira Pache de Faria, Fabiana Rabe Carvalho, Luis Antonio Bataglin Dalcastel, Simone Saraiva de Abreu Almeida, Alexandre Ribeiro Fernandes, Luis Guillermo Coca Velarde, Solange Artimos de Oliveira, Claudete Aparecida Araújo Cardoso, Maria Elisa Vieira da Cunha Ramos Miterhof, Renata Artimos de Oliveira Vianna","Humans, Microcephaly, Zika Virus Infection, Female, Cross-Sectional Studies, Male, Pregnancy, Pregnancy Complications, Infectious, Infant, Infant, Newborn, Evoked Potentials, Auditory, Brain Stem, Child, Preschool, Hearing Disorders, Prenatal Exposure Delayed Effects, Child, Zika Virus, Case-Control Studies"
39620308,Serotype-Specific Dengue Virus IgG Assay Using EDIII-Based Recombinant Proteins and Its Application in an Endemic Population in Northeast Brazil.,"Samuel Santos Pereira, Rafael Rahal Guaragna Machado, Jéssica Pires Farias, Robert Adreata-Santos, Mônica Josiane Rodrigues-Jesus, Mayanna Moreira Costa Fogaça, Milena Silva Souza, Eduardo Gimenes Martins, Camila Malta Romano, Edison Luiz Durigon, Jaime Henrique Amorim, Luís Carlos de Souza Ferreira","Dengue Virus, Humans, Brazil, Immunoglobulin G, Antibodies, Viral, Dengue, Animals, Serogroup, Mice, Recombinant Proteins, Zika Virus, Zika Virus Infection, Sensitivity and Specificity, Enzyme-Linked Immunosorbent Assay, Antigens, Viral, Endemic Diseases, Viral Envelope Proteins, Cross Reactions, Serologic Tests"
39597523,Molecular Biology for Diagnosis of Congenital and Neonatal Infections in the Cerebrospinal Fluid of Newborns from a Brazilian Tertiary Hospital.,"Suzana Ferreira Zimmerman, Rodrigo Gonçalves de Lima, André Moreno Morcillo, Sandra Helena Alves Bonon, Sergio Tadeu Martins Marba",
39593538,"Physical therapy intervention improves pain, mobility, and strength in a patient with transverse myelitis seropositive to Chikungunya: Case report.","Ana Beatriz Souza da Conceição, Bleno Thiago Ferraz Albuquerque, Lucas Yuri Azevedo da Silva, Ana Laura de Fátima Sampaio Diniz, Isabela Natalia de Souza Rego, Suellen Alessandra Soares de Moraes, Mellina Monteiro Jacob","Adult, Humans, Chikungunya Fever, Muscle Strength, Myelitis, Transverse, Pain Measurement, Physical Therapy Modalities"
39546935,"Advances in drug discovery of flavivirus NS2B-NS3pro serine protease inhibitors for the treatment of Dengue, Zika, and West Nile viruses.","Emílio Emílio João, Juliana Romano Lopes, Bruna Fernanda Rodrigues Guedes, Paulo Ricardo da Silva Sanches, Chung Man Chin, Jean Leandro Dos Santos, Cauê Benito Scarim","Humans, Antiviral Agents, Dengue, Dengue Virus, Drug Discovery, Microbial Sensitivity Tests, Molecular Structure, Nucleoside-Triphosphatase, RNA Helicases, Serine Endopeptidases, Serine Proteinase Inhibitors, Structure-Activity Relationship, Viral Nonstructural Proteins, West Nile Fever, West Nile virus, Zika Virus, Zika Virus Infection"
39542046,Rescuing pathogen-specific memory B-cell from PBMC of prior Zika virus-infected individuals.,"Jacyelle Medeiros Silva, Renato Kaylan Alves de Oliveira França, Pedro Henrique Barros, Hitallo Guilherme Costa Fontinele, Simone Gonçalves Fonseca, Marcelo Macedo Brigido, Andrea Queiroz Maranhão","Humans, Zika Virus Infection, Zika Virus, Immunologic Memory, Leukocytes, Mononuclear, Memory B Cells, Antibodies, Viral, Cells, Cultured, Male, Adult, Lymphocyte Activation, Female"
